PC6,number_of_charger,total_capacity
1034SP,2,33.0
1034ST,1,22.0
1034TN,1,11.0
1034VB,1,22.0
1034WC,1,22.0
1034WD,1,11.0
1034WG,1,11.0
1034XC,1,11.0
1034XG,1,22.0
1034XM,1,22.0
1034ZK,1,11.0
1035BK,1,11.0
1035HK,1,11.0
1035HM,1,22.0
1035HN,1,11.0
1035HV,1,22.0
1035HZ,1,11.0
1035JB,1,11.0
1035JR,1,11.0
1035JS,1,22.0
1035JW,3,55.0
1035JX,1,11.0
1035KG,2,22.0
1035KP,1,22.0
1035KW,1,11.0
1035LC,1,11.0
1035NE,1,11.0
1035RD,1,11.0
1035SW,1,11.0
1035SX,1,22.0
1035TT,1,11.0
1035VB,1,22.0
1035XJ,1,11.0
1035XS,1,11.0
1035XT,1,22.0
1036KD,1,11.0
1036KJ,4,66.0
1036KM,1,11.0
1036KR,1,11.0
1036LD,1,11.0
1036LG,1,11.0
1036LL,1,11.0
1036LM,1,22.0
1037RS,1,11.0
1042AH,1,11.0
1043AC,4,44.0
1043AH,1,4.0
1043AJ,1,11.0
1043BE,1,11.0
1043BJ,1,11.0
1043BX,1,11.0
1043DV,1,11.0
1046AB,1,22.0
1046AD,1,11.0
1046AE,1,22.0
1046AG,1,11.0
1046AK,1,50.0
1047AZ,1,22.0
1051AL,1,11.0
1051AN,1,11.0
1051AV,2,22.0
1051BW,1,11.0
1051CA,1,11.0
1051CG,3,33.0
1051CN,1,22.0
1051CP,1,22.0
1051CZ,1,11.0
1051DD,1,11.0
1051ED,3,44.0
1051EL,1,11.0
1051EN,1,22.0
1051ES,1,11.0
1051ET,1,22.0
1051GL,1,11.0
1051GN,1,11.0
1051GV,1,22.0
1051HL,1,11.0
1051HP,2,44.0
1051HV,1,22.0
1051JN,1,11.0
1051JZ,1,22.0
1051KH,1,11.0
1051KN,1,11.0
1051LG,1,22.0
1051LM,1,11.0
1051LN,1,22.0
1051LP,1,22.0
1051LS,1,11.0
1051LT,1,11.0
1051MJ,1,11.0
1051NX,1,11.0
1051TK,1,22.0
1051TN,1,11.0
1051TS,1,22.0
1051VA,1,11.0
1051VD,1,11.0
1051VR,1,11.0
1051VT,1,11.0
1051XC,2,33.0
1051XP,1,22.0
1051XR,1,11.0
1052AC,1,11.0
1052AE,1,11.0
1052AK,1,22.0
1052AV,1,11.0
1052BA,1,22.0
1052BB,1,11.0
1052BD,1,11.0
1052BR,1,11.0
1052CE,1,11.0
1052CG,1,11.0
1052EM,1,11.0
1052ES,2,44.0
1052ET,1,11.0
1052GA,1,11.0
1052GB,1,11.0
1052GL,1,22.0
1052GN,1,22.0
1052HS,1,22.0
1052HZ,1,11.0
1052JE,1,22.0
1052JK,1,22.0
1052JL,1,11.0
1052JT,1,11.0
1052JX,1,11.0
1052KG,1,11.0
1052KP,1,11.0
1052LM,1,11.0
1052LP,1,11.0
1052LS,1,22.0
1052RJ,1,11.0
1052RP,1,22.0
1052SE,1,11.0
1052SL,2,33.0
1052SP,1,22.0
1052SW,1,11.0
1052TJ,1,22.0
1052VA,1,11.0
1052VC,1,11.0
1052VG,1,11.0
1052WC,1,11.0
1052WG,1,11.0
1052NA,1,11.0
1053AP,1,11.0
1053AS,1,22.0
1053BD,1,11.0
1053BT,1,22.0
1053CL,1,22.0
1053CW,1,11.0
1053GP,1,22.0
1053HG,1,11.0
1053HK,1,22.0
1053JE,1,11.0
1053JM,1,11.0
1053KE,1,11.0
1053LJ,1,22.0
1053LL,1,11.0
1053LR,1,11.0
1053MJ,1,11.0
1053NG,1,11.0
1053PE,1,22.0
1053PR,1,22.0
1053PV,1,11.0
1053PW,1,11.0
1053RE,1,22.0
1053RL,1,22.0
1053RV,2,22.0
1053RZ,1,22.0
1053SB,1,11.0
1053SC,1,11.0
1053SE,1,11.0
1053SJ,2,22.0
1053SV,1,22.0
1053SX,2,33.0
1053TN,1,11.0
1053TT,1,11.0
1053TW,1,22.0
1053VB,1,11.0
1053VD,1,22.0
1053VG,1,22.0
1053VX,1,11.0
1053WS,1,11.0
1053XB,1,11.0
1053XD,1,22.0
1053XE,1,11.0
1053XZ,1,11.0
1053ZE,1,11.0
1053ZJ,1,11.0
1053ZN,1,11.0
1053ZW,1,22.0
1053ZZ,1,11.0
1054AB,1,11.0
1054AH,3,55.0
1054AN,1,11.0
1054AW,1,11.0
1054AX,1,11.0
1054BG,1,22.0
1054CE,2,33.0
