PC6,number_of_charger,total_capacity
1098KT,1,11.0
1098KX,1,11.0
1098LK,1,11.0
1098LR,1,22.0
1098NA,1,22.0
1098NB,3,44.0
1098NC,1,11.0
1098ND,1,11.0
1098NJ,3,33.0
1098NR,1,11.0
1098NV,1,11.0
1098PE,1,11.0
1098PM,1,11.0
1098PN,1,22.0
1098PZ,1,11.0
1098RL,1,11.0
1098RP,1,11.0
1098RX,1,11.0
1098SK,2,22.0
1098TB,1,11.0
1098TG,1,22.0
1098TS,1,22.0
1098TT,2,22.0
1098TZ,1,11.0
1098XB,1,11.0
1098XE,1,11.0
1098XH,2,22.0
1101AG,2,22.0
1101AR,1,11.0
1101GC,1,11.0
1102AA,1,11.0
1102AG,1,11.0
1102AL,1,22.0
1102AM,1,11.0
1102AZ,3,33.0
1102BA,1,11.0
1102EE,1,11.0
1102GG,1,11.0
1102JC,1,11.0
1102JN,1,22.0
1102KA,1,11.0
1102LA,1,11.0
1102MX,1,11.0
1102PT,1,11.0
1102RR,1,11.0
1102RS,1,22.0
1102SC,1,11.0
1102SE,1,11.0
1102SG,1,11.0
1102SP,1,11.0
1102TB,1,22.0
1102TD,1,22.0
1102TG,1,11.0
1102TT,1,22.0
1102TW,1,22.0
1102VD,1,22.0
1102VJ,1,11.0
1102VP,1,22.0
1102VW,1,11.0
1102WV,1,22.0
1102WZ,1,22.0
1102XA,1,11.0
1102XD,1,11.0
1102XE,1,11.0
1102XL,1,22.0
1102ZM,1,22.0
1102ZR,1,22.0
1103AC,3,33.0
1103AS,1,22.0
1103AV,2,22.0
1103AW,1,22.0
1103BA,1,22.0
1103BJ,1,11.0
1103DN,1,22.0
1103DS,1,11.0
1103DT,1,11.0
1103JZ,1,11.0
1103ML,1,22.0
1103MN,1,11.0
1103MP,1,11.0
1103PX,1,11.0
1103RC,1,11.0
1103RK,1,11.0
1103RM,1,22.0
1103SC,1,11.0
1103SE,1,22.0
1103SG,1,22.0
1103SK,1,11.0
1103SL,1,11.0
1103TA,1,11.0
1103TC,1,22.0
1103TE,1,11.0
1103TT,1,11.0
1103TV,4,44.0
1104CB,1,11.0
1104DN,1,22.0
1104EA,4,55.0
1104HJ,2,33.0
1104HL,2,33.0
1104HP,1,11.0
1104HS,1,22.0
1104HV,1,11.0
1104KK,2,33.0
1104KR,1,11.0
1104KV,1,22.0
1104MJ,1,22.0
1104MM,4,44.0
1104MP,1,11.0
1104NS,1,22.0
1104PE,1,22.0
1104PS,1,11.0
1104SE,2,22.0
1104VA,2,44.0
1104VC,1,22.0
1105AS,1,11.0
1105AT,1,11.0
1106AH,1,11.0
1106BA,2,22.0
1106CS,1,11.0
1106CZ,1,11.0
1106DL,1,11.0
1106ED,1,11.0
1106EG,1,22.0
1106EL,1,22.0
1106EN,2,22.0
1106EX,1,11.0
1106GC,1,11.0
1106GK,1,11.0
1106GT,1,22.0
1106HB,1,22.0
1106HP,1,22.0
1106HW,1,11.0
1106JK,1,11.0
1106JW,1,11.0
1106JZ,1,22.0
1106KB,1,11.0
1106MH,1,11.0
1106PS,1,11.0
1106RT,1,22.0
1106VP,1,11.0
1106WB,1,11.0
1106WH,1,11.0
1106WL,1,11.0
1106WR,1,11.0
1106XZ,1,11.0
1106ZB,1,11.0
1106ZD,1,11.0
1106ZE,1,11.0
1106ZK,2,33.0
1106ZM,2,33.0
1106ZN,1,11.0
1106ZT,2,33.0
1107AD,1,11.0
1107AV,1,11.0
1107BA,1,11.0
1107BV,1,11.0
1107CJ,1,22.0
1107CN,1,11.0
1107DC,1,22.0
1107DL,1,22.0
1107EA,1,11.0
1107KB,1,22.0
1107LC,1,11.0
1107PK,1,11.0
1107RH,1,11.0
1107ST,1,11.0
1107TA,1,11.0
1107TH,1,22.0
1107VA,1,11.0
1107VD,1,11.0
1107VJ,2,33.0
1107WS,2,22.0
1107XM,1,11.0
1108AX,1,11.0
1108CK,1,11.0
1108CP,1,11.0
1108EL,1,11.0
1109AG,1,11.0
1109BB,1,11.0
1109BC,1,11.0
1109BJ,1,11.0
1109BK,1,11.0
